model,train,feature,importance
lightgbm,2022-2022,return_1d,2.0
lightgbm,2022-2022,momentum_5d,3.0
lightgbm,2022-2022,momentum_20d,1.0
lightgbm,2022-2022,volatility_20d,0.0
lightgbm,2022-2022,volume_ratio,4.0
lightgbm,2022-2022,mentions_log,2.0
lightgbm,2022-2022,mentions_log_chg_5d,1.0
lightgbm,2022-2022,mentions_abnormal,1.0
lightgbm,2022-2022,mentions_vol_scaled,0.0
lightgbm,2022-2022,mentions_volume_scaled,0.0
random_forest,2022-2022,return_1d,0.1196144745825518
random_forest,2022-2022,momentum_5d,0.13357898927381026
random_forest,2022-2022,momentum_20d,0.09476551580015181
random_forest,2022-2022,volatility_20d,0.11982315990868303
random_forest,2022-2022,volume_ratio,0.10935981582947515
random_forest,2022-2022,mentions_log,0.06142653832132928
random_forest,2022-2022,mentions_log_chg_5d,0.10832712482859873
random_forest,2022-2022,mentions_abnormal,0.08481772789972145
random_forest,2022-2022,mentions_vol_scaled,0.09496498485810918
random_forest,2022-2022,mentions_volume_scaled,0.0733216686975693
extra_trees,2022-2022,return_1d,0.06555793811513538
extra_trees,2022-2022,momentum_5d,0.1015743424527421
extra_trees,2022-2022,momentum_20d,0.1221588109025569
extra_trees,2022-2022,volatility_20d,0.1655753275789882
extra_trees,2022-2022,volume_ratio,0.07857959306284268
extra_trees,2022-2022,mentions_log,0.13841347121214329
extra_trees,2022-2022,mentions_log_chg_5d,0.06688058105992636
extra_trees,2022-2022,mentions_abnormal,0.10299143024972404
extra_trees,2022-2022,mentions_vol_scaled,0.11220304822167436
extra_trees,2022-2022,mentions_volume_scaled,0.046065457144266804
lightgbm,2022-2023,return_1d,19.0
lightgbm,2022-2023,momentum_5d,18.0
lightgbm,2022-2023,momentum_20d,14.0
lightgbm,2022-2023,volatility_20d,13.0
lightgbm,2022-2023,volume_ratio,7.0
lightgbm,2022-2023,mentions_log,7.0
lightgbm,2022-2023,mentions_log_chg_5d,19.0
lightgbm,2022-2023,mentions_abnormal,4.0
lightgbm,2022-2023,mentions_vol_scaled,4.0
lightgbm,2022-2023,mentions_volume_scaled,7.0
random_forest,2022-2023,return_1d,0.12532418173038853
random_forest,2022-2023,momentum_5d,0.10159172276757139
random_forest,2022-2023,momentum_20d,0.09417609720626463
random_forest,2022-2023,volatility_20d,0.13146746680091947
random_forest,2022-2023,volume_ratio,0.1087923291198226
random_forest,2022-2023,mentions_log,0.05849916011078583
random_forest,2022-2023,mentions_log_chg_5d,0.10879603194570385
random_forest,2022-2023,mentions_abnormal,0.08398561978140624
random_forest,2022-2023,mentions_vol_scaled,0.103025666281514
random_forest,2022-2023,mentions_volume_scaled,0.08434172425562347
extra_trees,2022-2023,return_1d,0.06104762170054876
extra_trees,2022-2023,momentum_5d,0.09728210363478032
extra_trees,2022-2023,momentum_20d,0.07944153130744584
extra_trees,2022-2023,volatility_20d,0.27442636021503286
extra_trees,2022-2023,volume_ratio,0.057129798077070096
extra_trees,2022-2023,mentions_log,0.13076148463909035
extra_trees,2022-2023,mentions_log_chg_5d,0.060583994379278014
extra_trees,2022-2023,mentions_abnormal,0.08536861318867356
extra_trees,2022-2023,mentions_vol_scaled,0.0912425931642829
extra_trees,2022-2023,mentions_volume_scaled,0.06271589969379711
