model,train,split,year,calibrated,n,accuracy,auc,ic,ic_tstat,ic_pval
lightgbm,2022-2022,val,2023,False,5000,0.4706,0.5062,0.0109,0.77,0.4415
lightgbm,2022-2022,test,2024,False,5040,0.4869,0.498,-0.0035,-0.249,0.803
lightgbm,2022-2022,test,2024,True,5040,0.5131,0.498,-0.0035,-0.249,0.803
random_forest,2022-2022,val,2023,False,5000,0.4744,0.5038,0.0065,0.46,0.6453
random_forest,2022-2022,test,2024,False,5040,0.4859,0.4911,-0.0154,-1.091,0.2754
random_forest,2022-2022,test,2024,True,5040,0.5131,0.4911,-0.0154,-1.091,0.2754
extra_trees,2022-2022,val,2023,False,5000,0.4706,0.5074,0.0127,0.899,0.3687
extra_trees,2022-2022,test,2024,False,5040,0.4869,0.4976,-0.0041,-0.293,0.7694
extra_trees,2022-2022,test,2024,True,5040,0.5131,0.4976,-0.0041,-0.293,0.7694
logistic_l2,2022-2022,val,2023,False,5000,0.4722,0.5148,0.0255,1.807,0.0709
logistic_l2,2022-2022,test,2024,False,5040,0.4845,0.4963,-0.0064,-0.454,0.6495
logistic_l2,2022-2022,test,2024,True,5040,0.5131,0.4963,-0.0064,-0.454,0.6495
logistic_l1,2022-2022,val,2023,False,5000,0.4708,0.5113,0.0196,1.384,0.1665
logistic_l1,2022-2022,test,2024,False,5040,0.4889,0.4971,-0.005,-0.353,0.7242
logistic_l1,2022-2022,test,2024,True,5040,0.5137,0.4971,-0.005,-0.353,0.7242
dummy,2022-2022,val,2023,False,5000,0.4706,0.5,,,
dummy,2022-2022,test,2024,False,5040,0.4869,0.5,,,
lightgbm,2022-2023,val,2024,False,5040,0.5135,0.516,0.0278,1.977,0.0481
lightgbm,2022-2023,test,2025,False,5000,0.5142,0.5093,0.0163,1.151,0.2499
lightgbm,2022-2023,test,2025,True,5000,0.5076,0.5093,0.0163,1.151,0.2499
random_forest,2022-2023,val,2024,False,5040,0.5002,0.5069,0.012,0.851,0.3951
random_forest,2022-2023,test,2025,False,5000,0.5078,0.511,0.019,1.343,0.1793
random_forest,2022-2023,test,2025,True,5000,0.5146,0.511,0.019,1.343,0.1793
extra_trees,2022-2023,val,2024,False,5040,0.5079,0.5114,0.0198,1.406,0.1597
extra_trees,2022-2023,test,2025,False,5000,0.5066,0.5111,0.0192,1.358,0.1746
extra_trees,2022-2023,test,2025,True,5000,0.5118,0.5111,0.0192,1.358,0.1746
logistic_l2,2022-2023,val,2024,False,5040,0.5127,0.5177,0.0306,2.174,0.0298
logistic_l2,2022-2023,test,2025,False,5000,0.5042,0.4971,-0.0051,-0.358,0.7202
logistic_l2,2022-2023,test,2025,True,5000,0.5106,0.4971,-0.0051,-0.358,0.7202
logistic_l1,2022-2023,val,2024,False,5040,0.5145,0.5188,0.0326,2.315,0.0206
logistic_l1,2022-2023,test,2025,False,5000,0.5012,0.4981,-0.0033,-0.235,0.8139
logistic_l1,2022-2023,test,2025,True,5000,0.5106,0.4981,-0.0033,-0.235,0.8139
dummy,2022-2023,val,2024,False,5040,0.4869,0.5,,,
dummy,2022-2023,test,2025,False,5000,0.4886,0.5,,,
