date,ticker,trends_interest
2020-12-27,AAPL,17.0
2021-01-03,AAPL,20.0
2021-01-10,AAPL,17.0
2021-01-17,AAPL,18.0
2021-01-24,AAPL,36.0
2021-01-31,AAPL,24.0
2021-02-07,AAPL,18.0
2021-02-14,AAPL,16.0
2021-02-21,AAPL,22.0
2021-02-28,AAPL,21.0
2021-03-07,AAPL,23.0
2021-03-14,AAPL,18.0
2021-03-21,AAPL,17.0
2021-03-28,AAPL,14.0
2021-04-04,AAPL,17.0
2021-04-11,AAPL,17.0
2021-04-18,AAPL,16.0
2021-04-25,AAPL,23.0
2021-05-02,AAPL,16.0
2021-05-09,AAPL,16.0
2021-05-16,AAPL,13.0
2021-05-23,AAPL,12.0
2021-05-30,AAPL,9.0
2021-06-06,AAPL,11.0
2021-06-13,AAPL,13.0
2021-06-20,AAPL,12.0
2021-06-27,AAPL,13.0
2021-07-04,AAPL,14.0
2021-07-11,AAPL,16.0
2021-07-18,AAPL,15.0
2021-07-25,AAPL,21.0
2021-08-01,AAPL,12.0
2021-08-08,AAPL,11.0
2021-08-15,AAPL,13.0
2021-08-22,AAPL,12.0
2021-08-29,AAPL,13.0
2021-09-05,AAPL,12.0
2021-09-12,AAPL,14.0
2021-09-19,AAPL,12.0
2021-09-26,AAPL,11.0
2021-10-03,AAPL,11.0
2021-10-10,AAPL,10.0
2021-10-17,AAPL,12.0
2021-10-24,AAPL,17.0
2021-10-31,AAPL,12.0
2021-11-07,AAPL,10.0
2021-11-14,AAPL,13.0
2021-11-21,AAPL,11.0
2021-11-28,AAPL,15.0
2021-12-05,AAPL,17.0
2021-12-12,AAPL,16.0
2021-12-19,AAPL,12.0
2021-12-26,AAPL,13.0
2022-01-02,AAPL,14.0
2022-01-09,AAPL,11.0
2022-01-16,AAPL,10.0
2022-01-23,AAPL,22.0
2022-01-30,AAPL,14.0
2022-02-06,AAPL,12.0
2022-02-13,AAPL,11.0
2022-02-20,AAPL,12.0
2022-02-27,AAPL,11.0
2022-03-06,AAPL,12.0
2022-03-13,AAPL,12.0
2022-03-20,AAPL,11.0
2022-03-27,AAPL,11.0
2022-04-03,AAPL,9.0
2022-04-10,AAPL,8.0
2022-04-17,AAPL,10.0
2022-04-24,AAPL,18.0
2022-05-01,AAPL,13.0
2022-05-08,AAPL,15.0
2022-05-15,AAPL,14.0
2022-05-22,AAPL,13.0
2022-05-29,AAPL,9.0
2022-06-05,AAPL,10.0
2022-06-12,AAPL,12.0
2022-06-19,AAPL,9.0
2022-06-26,AAPL,9.0
2022-07-03,AAPL,7.0
2022-07-10,AAPL,9.0
2022-07-17,AAPL,11.0
2022-07-24,AAPL,16.0
2022-07-31,AAPL,11.0
2022-08-07,AAPL,11.0
2022-08-14,AAPL,11.0
2022-08-21,AAPL,9.0
2022-08-28,AAPL,9.0
2022-09-04,AAPL,9.0
2022-09-11,AAPL,11.0
2022-09-18,AAPL,10.0
2022-09-25,AAPL,12.0
2022-10-02,AAPL,10.0
2022-10-09,AAPL,8.0
2022-10-16,AAPL,9.0
2022-10-23,AAPL,17.0
2022-10-30,AAPL,10.0
2022-11-06,AAPL,11.0
2022-11-13,AAPL,9.0
2022-11-20,AAPL,6.0
2022-11-27,AAPL,8.0
2022-12-04,AAPL,7.0
2022-12-11,AAPL,8.0
2022-12-18,AAPL,8.0
2022-12-25,AAPL,8.0
2023-01-01,AAPL,9.0
2023-01-08,AAPL,8.0
2023-01-15,AAPL,7.0
2023-01-22,AAPL,9.0
2023-01-29,AAPL,17.0
2023-02-05,AAPL,9.0
2023-02-12,AAPL,9.0
2023-02-19,AAPL,6.0
2023-02-26,AAPL,6.0
2023-03-05,AAPL,7.0
2023-03-12,AAPL,7.0
2023-03-19,AAPL,8.0
2023-03-26,AAPL,8.0
2023-04-02,AAPL,7.0
2023-04-09,AAPL,8.0
2023-04-16,AAPL,9.0
2023-04-23,AAPL,9.0
2023-04-30,AAPL,15.0
2023-05-07,AAPL,9.0
2023-05-14,AAPL,8.0
2023-05-21,AAPL,8.0
2023-05-28,AAPL,9.0
2023-06-04,AAPL,16.0
2023-06-11,AAPL,11.0
2023-06-18,AAPL,7.0
2023-06-25,AAPL,11.0
2023-07-02,AAPL,8.0
2023-07-09,AAPL,10.0
2023-07-16,AAPL,11.0
2023-07-23,AAPL,10.0
2023-07-30,AAPL,17.0
2023-08-06,AAPL,13.0
2023-08-13,AAPL,9.0
2023-08-20,AAPL,9.0
2023-08-27,AAPL,9.0
2023-09-03,AAPL,11.0
2023-09-10,AAPL,13.0
2023-09-17,AAPL,9.0
2023-09-24,AAPL,8.0
2023-10-01,AAPL,8.0
2023-10-08,AAPL,7.0
2023-10-15,AAPL,6.0
2023-10-22,AAPL,8.0
2023-10-29,AAPL,13.0
2023-11-05,AAPL,9.0
2023-11-12,AAPL,9.0
2023-11-19,AAPL,6.0
2023-11-26,AAPL,8.0
2023-12-03,AAPL,8.0
2023-12-10,AAPL,10.0
2023-12-17,AAPL,9.0
2023-12-24,AAPL,6.0
2023-12-31,AAPL,9.0
2024-01-07,AAPL,9.0
2024-01-14,AAPL,8.0
2024-01-21,AAPL,9.0
2024-01-28,AAPL,14.0
2024-02-04,AAPL,10.0
2024-02-11,AAPL,8.0
2024-02-18,AAPL,7.0
2024-02-25,AAPL,8.0
2024-03-03,AAPL,13.0
2024-03-10,AAPL,9.0
2024-03-17,AAPL,13.0
2024-03-24,AAPL,7.0
2024-03-31,AAPL,7.0
2024-04-07,AAPL,8.0
2024-04-14,AAPL,8.0
2024-04-21,AAPL,9.0
2024-04-28,AAPL,17.0
2024-05-05,AAPL,11.0
2024-05-12,AAPL,9.0
2024-05-19,AAPL,9.0
2024-05-26,AAPL,7.0
2024-06-02,AAPL,9.0
2024-06-09,AAPL,24.0
2024-06-16,AAPL,12.0
2024-06-23,AAPL,11.0
2024-06-30,AAPL,10.0
2024-07-07,AAPL,13.0
2024-07-14,AAPL,12.0
2024-07-21,AAPL,10.0
2024-07-28,AAPL,15.0
2024-08-04,AAPL,16.0
2024-08-11,AAPL,10.0
2024-08-18,AAPL,8.0
2024-08-25,AAPL,9.0
2024-09-01,AAPL,7.0
2024-09-08,AAPL,10.0
2024-09-15,AAPL,11.0
2024-09-22,AAPL,7.0
2024-09-29,AAPL,7.0
2024-10-06,AAPL,7.0
2024-10-13,AAPL,9.0
2024-10-20,AAPL,8.0
2024-10-27,AAPL,12.0
2024-11-03,AAPL,9.0
2024-11-10,AAPL,7.0
2024-11-17,AAPL,7.0
2024-11-24,AAPL,6.0
2024-12-01,AAPL,8.0
2024-12-08,AAPL,8.0
2024-12-15,AAPL,9.0
2024-12-22,AAPL,7.0
2024-12-29,AAPL,6.0
2025-01-05,AAPL,7.0
2025-01-12,AAPL,8.0
2025-01-19,AAPL,9.0
2025-01-26,AAPL,17.0
2025-02-02,AAPL,11.0
2025-02-09,AAPL,8.0
2025-02-16,AAPL,7.0
2025-02-23,AAPL,8.0
2025-03-02,AAPL,8.0
2025-03-09,AAPL,10.0
2025-03-16,AAPL,7.0
2025-03-23,AAPL,6.0
2025-03-30,AAPL,14.0
2025-04-06,AAPL,22.0
2025-04-13,AAPL,14.0
2025-04-20,AAPL,10.0
2025-04-27,AAPL,13.0
2025-05-04,AAPL,10.0
2025-05-11,AAPL,10.0
2025-05-18,AAPL,8.0
2025-05-25,AAPL,8.0
2025-06-01,AAPL,7.0
2025-06-08,AAPL,9.0
2025-06-15,AAPL,6.0
2025-06-22,AAPL,8.0
2025-06-29,AAPL,8.0
2025-07-06,AAPL,8.0
2025-07-13,AAPL,7.0
2025-07-20,AAPL,9.0
2025-07-27,AAPL,16.0
2025-08-03,AAPL,14.0
2025-08-10,AAPL,11.0
2025-08-17,AAPL,7.0
2025-08-24,AAPL,7.0
2025-08-31,AAPL,9.0
2025-09-07,AAPL,11.0
2025-09-14,AAPL,10.0
2025-09-21,AAPL,11.0
2025-09-28,AAPL,8.0
2025-10-05,AAPL,8.0
2025-10-12,AAPL,7.0
2025-10-19,AAPL,10.0
2025-10-26,AAPL,14.0
2025-11-02,AAPL,9.0
2025-11-09,AAPL,9.0
2025-11-16,AAPL,7.0
2025-11-23,AAPL,7.0
2025-11-30,AAPL,8.0
2025-12-07,AAPL,7.0
2025-12-14,AAPL,6.0
2025-12-21,AAPL,5.0
2025-12-28,AAPL,5.0
2020-12-27,AMC,7.0
2021-01-03,AMC,5.0
2021-01-10,AMC,5.0
2021-01-17,AMC,7.0
2021-01-24,AMC,82.0
2021-01-31,AMC,55.0
2021-02-07,AMC,18.0
2021-02-14,AMC,12.0
2021-02-21,AMC,22.0
2021-02-28,AMC,17.0
2021-03-07,AMC,19.0
2021-03-14,AMC,20.0
2021-03-21,AMC,16.0
2021-03-28,AMC,17.0
2021-04-04,AMC,13.0
2021-04-11,AMC,12.0
2021-04-18,AMC,15.0
2021-04-25,AMC,14.0
2021-05-02,AMC,12.0
2021-05-09,AMC,16.0
2021-05-16,AMC,18.0
2021-05-23,AMC,40.0
2021-05-30,AMC,74.0
2021-06-06,AMC,46.0
2021-06-13,AMC,38.0
2021-06-20,AMC,32.0
2021-06-27,AMC,30.0
2021-07-04,AMC,29.0
2021-07-11,AMC,29.0
2021-07-18,AMC,24.0
2021-07-25,AMC,21.0
2021-08-01,AMC,20.0
2021-08-08,AMC,22.0
2021-08-15,AMC,20.0
2021-08-22,AMC,22.0
2021-08-29,AMC,20.0
2021-09-05,AMC,19.0
2021-09-12,AMC,17.0
2021-09-19,AMC,15.0
2021-09-26,AMC,19.0
2021-10-03,AMC,20.0
2021-10-10,AMC,21.0
2021-10-17,AMC,19.0
2021-10-24,AMC,16.0
2021-10-31,AMC,18.0
2021-11-07,AMC,20.0
2021-11-14,AMC,17.0
2021-11-21,AMC,19.0
2021-11-28,AMC,20.0
2021-12-05,AMC,17.0
2021-12-12,AMC,28.0
2021-12-19,AMC,34.0
2021-12-26,AMC,28.0
2022-01-02,AMC,17.0
2022-01-09,AMC,15.0
2022-01-16,AMC,14.0
2022-01-23,AMC,12.0
2022-01-30,AMC,13.0
2022-02-06,AMC,15.0
2022-02-13,AMC,17.0
2022-02-20,AMC,16.0
2022-02-27,AMC,19.0
2022-03-06,AMC,19.0
2022-03-13,AMC,18.0
2022-03-20,AMC,18.0
2022-03-27,AMC,19.0
2022-04-03,AMC,17.0
2022-04-10,AMC,17.0
2022-04-17,AMC,16.0
